AMMO_ARROW_DYNAMITE,Arrow Dynamite
PROVISION_LEGENDARY_BOAR_TUSK,Legendary Boar Tusk
PROVISION_LEGENDARY_BUCK_ANTLER,Legendary Buck Antler
PROVISION_LEGENDARY_BUCK_PELT,Legendary Buck Pelt
PROVISION_LEGENDARY_BULLGATOR_PELT,Legendary Bullgator Pelt
PROVISION_LEGENDARY_BULLGATOR_TOOTH,Legendary Bullgator Tooth
PROVISION_LEGENDARY_COUGAR_FANG,Legendary Cougar Fang
PROVISION_LEGENDARY_COUGAR_PELT,Legendary Cougar Pelt
PROVISION_LEGENDARY_COYOTE_FANG,Legendary Coyote Fang
PROVISION_LEGENDARY_COYOTE_PELT,Legendary Coyote Pelt
PROVISION_LEGENDARY_ELK_ANTLER,Legendary Elk Antler
PROVISION_LEGENDARY_ELK_PELT,Legendary Elk Pelt
PROVISION_LEGENDARY_FOX_CLAW,Legendary Fox Claw
PROVISION_LEGENDARY_FOX_PELT,Legendary Fox Pelt
PROVISION_LEGENDARY_MOOSE_ANTLER,Legendary Moose Antler
PROVISION_LEGENDARY_MOOSE_PELT,Legendary Moose Pelt
PROVISION_LEGENDARY_PANTHER_GIAGUARO_EYE,Legendary Panther Giaguaro Eye
PROVISION_LEGENDARY_PANTHER_GIAGUARO_PELT,Legendary Panther Giaguaro Pelt
PROVISION_LEGENDARY_PRONGHORN_HORN,Legendary Pronghorn Horn
PROVISION_LEGENDARY_PRONGHORN_PELT,Legendary Pronghorn Pelt
PROVISION_LEGENDARY_TATANKA_BISON_HORN,Legendary Tatanka Bison Horn
PROVISION_LEGENDARY_TATANKA_BISON_PELT,Legendary Tatanka Bison Pelt
PROVISION_LEGENDARY_WOLF_HEART,Legendary Wolf Heart
PROVISION_LEGENDARY_WOLF_PELT,Legendary Wolf Pelt
PROVISION_LOON_FEATHER,Loon Feather
PROVISION_MOOSE_ANTLER,Moose Antler
PROVISION_MOOSE_ANTLER_LEGENDARY,Legendary Moose Antler
PROVISION_MUTTON,Mutton
PROVISION_OWL_FEATHER,Owl Feather
PROVISION_PANTHER_EYE,Panther Eye
PROVISION_PANTHER_GIAGUARO_EYE_LEGENDARY,Legendary Panther Giaguaro Eye
PROVISION_PARROT_FEATHER,Parrot Feather
PROVISION_PELICAN_FEATHER,Pelican Feather
PROVISION_PHEASANT_FEATHER,Pheasant Feather
PROVISION_PIGEON_FEATHER,Pigeon Feather
PROVISION_PORK,Pork
PROVISION_PRONGHORN_HORN_LEGENDARY,Legendary Pronghorn Horn
PROVISION_QUAIL_FEATHER,Quail Feather
PROVISION_RAVEN_FEATHER,Raven Feather
PROVISION_ROBIN_FEATHER,Robin Feather
PROVISION_ROOSTER_FEATHER,Rooster Feather
PROVISION_SONGBIRD_FEATHER,Songbird Feather
PROVISION_SPOONBILL_FEATHER,Spoonbill Feather
PROVISION_SUCCULENT_FISH,Succulent Fish
PROVISION_TATANKA_BISON_HORN_LEGENDARY,Legendary Tatanka Bison Horn
PROVISION_TURKEY_FEATHER,Turkey Feather
PROVISION_VULTURE_FEATHER,Vulture Feather
PROVISION_WOLF_HEART,Wolf Heart
PROVISION_WOLF_HEART_LEGENDARY,Legendary Wolf Heart
PROVISION_WOODPECKER_FEATHER,Woodpecker Feather
WEAPON_THROWN_DYNAMITE_VOLATILE,Dynamite Volatile
WEAPON_THROWN_MOLOTOV_VOLATILE,Molotov Volatile
WEAPON_THROWN_THROWING_KNIVES_IMPROVED,Throwing Knives Improved
WEAPON_THROWN_THROWING_KNIVES_POISON,Throwing Knives Poison
WEAPON_THROWN_TOMAHAWK_HOMING,Tomahawk Homing
WEAPON_THROWN_TOMAHAWK_IMPROVED,Tomahawk Improved
